*******************************************************************************,
"2308348.500000000, A.D. 1607-Dec-11 00:00:00.0000, -5.415817718376124E+09, -4.222791155686945E+10, -1.616053815405137E+10,  2.970276136545611E-01,  2.213308132855553E+00,  9.071194487926628E-01,  1.518977271252114E+05,  4.553779297948040E+10, -2.409681251068603E+00,",
"2308714.500000000, A.D. 1608-Dec-11 00:00:00.0000, -5.406421177514665E+09, -4.215789169604311E+10, -1.613184147679561E+10,  2.972690213281022E-01,  2.215190496409347E+00,  9.078397842170233E-01,  1.516434447255899E+05,  4.546156103387172E+10, -2.411708871362450E+00,",
"2309079.500000000, A.D. 1609-Dec-11 00:00:00.0000, -5.397042695112451E+09, -4.208800376538166E+10, -1.610320048343417E+10,  2.975105634544014E-01,  2.217074047187552E+00,  9.085604893315246E-01,  1.513896437302703E+05,  4.538547340964200E+10, -2.413737734574988E+00,",
"2309444.500000000, A.D. 1610-Dec-11 00:00:00.0000, -5.387656582868372E+09, -4.201805633489255E+10, -1.607453672493839E+10,  2.977529033241317E-01,  2.218963956999539E+00,  9.092835417052152E-01,  1.511356289552004E+05,  4.530932169585550E+10, -2.415773411026364E+00,",
"2309809.500000000, A.D. 1611-Dec-11 00:00:00.0000, -5.378262815576332E+09, -4.194804920345512E+10, -1.604585012707800E+10,  2.979960440515597E-01,  2.220860262519923E+00,  9.100089546033573E-01,  1.508813996816160E+05,  4.523310567703208E+10, -2.417815939719830E+00,",
"2310175.500000000, A.D. 1612-Dec-11 00:00:00.0000, -5.368835599949363E+09, -4.187779012183870E+10, -1.601706192745635E+10,  2.982406594279335E-01,  2.222768223302927E+00,  9.107387388976790E-01,  1.506262577821171E+05,  4.515661605984251E+10, -2.419870985250706E+00,",
"2310540.500000000, A.D. 1613-Dec-11 00:00:00.0000, -5.359426425308787E+09, -4.180766281548102E+10, -1.598832936336622E+10,  2.984854170824211E-01,  2.224677452726560E+00,  9.114689213972689E-01,  1.503715967458177E+05,  4.508027060181351E+10, -2.421927360037976E+00,",
"2310905.500000000, A.D. 1614-Dec-11 00:00:00.0000, -5.350009519156625E+09, -4.173747519708199E+10, -1.595957373438237E+10,  2.987309895622128E-01,  2.226593194542062E+00,  9.122015072167422E-01,  1.501167190271592E+05,  4.500386018404741E+10, -2.423990711861758E+00,",
"2311270.500000000, A.D. 1615-Dec-11 00:00:00.0000, -5.340584855712139E+09, -4.166722706064808E+10, -1.593079496449142E+10,  2.989773824020185E-01,  2.228515487684271E+00,  9.129365104148641E-01,  1.498616238900016E+05,  4.492738458585509E+10, -2.426061082387200E+00,",
"2311636.500000000, A.D. 1616-Dec-11 00:00:00.0000, -5.331126555970283E+09, -4.159672548834328E+10, -1.590191403572650E+10,  2.992252800768249E-01,  2.230449664842435E+00,  9.136759683294049E-01,  1.496056108050163E+05,  4.485063379382720E+10, -2.428144214557901E+00,",
